#,Adopting a social media management tool is attractive to me.,Adopting a social media management tool is cost-effective.,A social media management tool is easy to get and purchase.,Mass media affects my decision to use a social media management tool.,Expert-opinion affects my decision to use a social media management tool.,The word-of-mouth affects my decision to use a social media management tool.,Adopting a social media management tool is a way to follow a trend in my industry.,Adopting a social media management tool is a symbol of prestige.,Adopting a social media management tool is a way to increase confidence.,I am interested in news about social media management tools.,I enjoy trying new techonlogies and services.,I want to be a pioneer by using social media management tools.,Adopting a social media management tool enables me to do my job faster.,Adopting a social media management tool enables me to do my job better.,Adopting a social media management tool improves my performance.,Adopting a social media management tool makes me more competitive.,The user interface of social media management tools is <em><strong>generally</strong></em> friendly.,Using a social media management tool is understandable.,It is easy to learn using a social media management tool.,It is easy to make use of social media management tools.,"Overall, I intend to use a social media management tool in the future.",Start Date (UTC),Submit Date (UTC),Network ID
d0c88fd13618893c8f75677c951cd008,5,3,3,3,5,3,4,3,3,4,4,4,3,3,3,3,4,4,4,4,4,2018-04-25 09:56:31,2018-04-25 09:59:57,3700977a07
9f2c0d99628383a5554c420f676c5c99,4,4,4,3,5,5,5,2,3,2,3,5,4,3,2,4,4,5,4,5,4,2018-04-25 08:08:20,2018-04-25 08:10:29,69745bfa5c
ec0250c3828ef9ecf8e1c659e3a5ab46,4,4,2,3,4,2,3,4,4,4,4,4,3,3,3,4,4,4,4,4,3,2018-04-24 13:18:21,2018-04-24 13:22:39,335260902e
48e706021c071c1bcfb8986c998aa818,5,5,5,4,5,3,3,2,3,4,5,5,3,4,2,3,2,3,3,3,4,2018-04-24 09:02:49,2018-04-24 09:06:26,b62f975bdb
cc1a48a3398df81a671a86fa1f96f0d5,5,5,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,2018-04-23 21:09:08,2018-04-23 21:13:24,898e7da7a0
3dac0ef28d23ccf9aab38b942131ea84,4,3,3,3,4,4,4,3,3,4,4,3,3,3,4,4,3,4,4,3,4,2018-04-22 20:48:37,2018-04-22 20:53:26,1aa251e0a5
aaebc21d03ffc0044b2814da7c7b80b1,4,3,3,1,2,3,4,2,3,4,4,3,4,4,4,5,3,3,4,3,4,2018-04-22 11:00:15,2018-04-22 11:03:06,350a9118e7
53cad2030f67a65354ec26d7c9481087,5,5,3,4,2,4,3,3,4,4,4,3,4,4,4,3,3,3,3,3,4,2018-04-22 10:31:34,2018-04-22 10:37:56,7649bc65a0
97477016390440c8e7f5cd16ccaa65dc,4,1,1,1,1,4,1,3,3,5,5,5,4,4,4,4,3,3,3,3,3,2018-04-21 18:25:24,2018-04-21 18:29:07,8ba4aed057
00fafacebae8d9915ae9b3174aed66a1,3,3,3,3,3,3,3,3,3,4,4,4,2,3,2,4,2,3,4,2,5,2018-04-21 11:16:53,2018-04-21 11:19:21,e14107786c
169afd5d54393b8c24ae9aa3365098bb,4,4,3,4,4,4,2,3,4,4,5,4,3,3,3,4,4,4,4,3,3,2018-04-21 05:28:09,2018-04-21 05:30:25,acc9508a31
2ebff5ee1039e932f60034088304af4c,3,4,3,4,5,3,3,3,3,4,5,3,4,3,3,4,3,3,3,3,3,2018-04-21 04:31:37,2018-04-21 04:34:26,5cac4ef5fa
41f02f10a5bd8f214813e39152ba5b33,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2018-04-20 20:20:23,2018-04-20 20:26:10,e585fec8b7
226139dac6d0c31f50628ce01e8f479d,4,5,4,2,3,4,4,1,3,4,4,4,4,3,3,4,3,3,4,4,4,2018-04-20 19:09:34,2018-04-20 19:14:13,8b59c63e50
f8ea2f0a0e1f68863d8e6878f6536094,5,3,1,1,1,1,3,1,1,2,5,1,1,1,1,1,3,2,1,5,1,2018-04-20 15:30:24,2018-04-20 16:18:23,1e72354b79
18ce2f6f3efda0876a2561928be2b066,4,4,3,2,4,4,4,2,4,2,4,2,4,3,4,5,2,3,4,4,4,2018-04-20 15:14:35,2018-04-20 15:23:08,225023662f
179d8c03464a29c2f0406a64d31cde84,5,5,2,3,3,2,2,4,2,3,4,4,2,4,2,4,2,4,2,4,2,2018-04-20 15:05:02,2018-04-20 15:06:40,51ee1f2dc9
ee544adf1b2828764d168d414e53f7f2,5,5,4,2,4,4,5,3,4,3,4,4,5,5,5,5,4,4,5,5,5,2018-04-20 14:43:10,2018-04-20 15:02:24,f60f587438
3101434cd33cd1b0e82e4c06c666361c,3,4,3,4,5,5,4,4,3,2,4,4,5,4,5,5,3,4,5,4,3,2018-04-20 14:28:38,2018-04-20 14:55:33,dedcd926ce
596ec4dc35ee74e222b61fc3f1bb67c5,4,4,1,3,4,4,2,4,3,3,4,4,4,4,4,4,2,3,2,4,4,2018-04-20 14:38:23,2018-04-20 14:51:29,eba5ea85b3
83400d9acaa76dea5009d9ae02cd88d5,5,5,4,4,4,4,5,4,4,4,4,3,4,4,4,4,5,4,4,4,5,2018-04-20 14:35:55,2018-04-20 14:42:27,ee2aa2358c
b2631647bd10dd15f9b4cbbda76fb8d8,5,4,3,2,2,4,4,1,1,2,5,3,3,3,4,4,4,3,5,2,5,2018-04-20 14:32:13,2018-04-20 14:35:35,f751557100
454f3dc33addcc65575aec2f652951a3,4,5,2,2,4,4,4,3,4,4,5,3,3,4,4,3,4,3,4,4,4,2018-04-20 14:31:32,2018-04-20 14:35:23,b62f975bdb
2fc4144741b2000965bc37469df9ff61,1,3,3,3,4,2,5,4,5,5,5,1,5,4,5,5,3,4,4,4,3,2018-04-20 14:30:15,2018-04-20 14:33:53,3bdb323e4e
db612ba5c0878b9ed882b9aab763dde1,5,3,2,3,3,3,4,4,4,4,5,5,5,5,5,4,4,2,4,4,5,2018-04-20 14:17:11,2018-04-20 14:31:04,ad97b7cb34
2208751e7c86c73a1108eb41d66ae31b,4,2,4,4,5,5,2,2,4,5,5,5,4,4,4,5,4,4,4,4,5,2018-04-20 14:24:11,2018-04-20 14:27:09,2d4e0ad464
7114857cf6804566e9b34d8ddf976209,4,3,4,4,5,5,2,1,1,5,5,4,5,4,3,3,5,5,4,4,5,2018-04-20 14:20:02,2018-04-20 14:26:35,2d8449fe7f
b5fb970f2d8e54663367edc7f0cdf729,5,4,3,3,5,4,3,2,4,5,5,5,5,5,5,5,5,1,4,4,5,2018-04-20 14:18:25,2018-04-20 14:21:51,534ec67b77
87d2c56ef47f5d5516d88007c0037acd,3,4,3,3,4,4,4,2,4,2,4,3,4,4,4,4,3,3,4,4,4,2018-04-20 14:17:03,2018-04-20 14:21:17,2f7ac1618f
83ba17ff335ff8d2052b88d57d6c8acb,4,4,4,3,5,5,5,4,5,3,5,5,5,5,4,5,4,4,4,4,4,2018-04-20 13:50:48,2018-04-20 13:55:26,ad97b7cb34
75a35730f9191ae688155d58485f1c17,4,3,2,4,4,4,4,3,3,4,4,3,4,3,4,4,3,2,3,3,4,2018-04-20 13:46:30,2018-04-20 13:50:09,ad97b7cb34
92cea2168728b0a9235e75a8402ffcbd,3,,4,1,,,,,5,1,,1,5,,,,1,1,3,1,4,2018-04-20 13:32:55,2018-04-20 13:38:48,57de24be12
6fc041fcf2ce7a2c547be6c3aa4101ef,3,4,4,4,4,4,3,2,3,2,5,4,4,4,4,3,4,2,4,4,4,2018-04-20 13:26:08,2018-04-20 13:32:17,57de24be12
ff2d4733d5ccb415c44b733fc71a9d87,5,4,3,4,4,3,3,3,4,3,3,3,4,4,4,3,3,3,5,4,4,2018-04-20 13:26:07,2018-04-20 13:31:20,ad97b7cb34
0b905fed1c75b6b761d1b9e11785ffaf,4,4,3,4,4,4,4,4,4,5,5,5,4,4,4,5,4,4,5,4,5,2018-04-20 13:24:48,2018-04-20 13:29:59,ad97b7cb34
1a3189aa5b152b5d93281a887a6b8e49,4,3,4,4,3,2,4,2,3,4,4,3,4,3,3,4,4,4,4,4,5,2018-04-20 13:25:41,2018-04-20 13:29:32,876eb71159
bea92c92fb1979cf023204a08d466e51,4,3,2,2,4,5,2,2,3,5,4,4,4,4,4,4,5,5,5,3,5,2018-04-20 13:25:15,2018-04-20 13:28:36,ad97b7cb34
